1	1 1(1) 1 0 0 1
3	1 1(1) 1 -1.11022e-16 -4.82164e-17 1
5	1 1(1) 1 0.693147 0.30103 2
7	1 1(1) 1 1.60944 0.69897 5
9	1 1(1) 1 2.63906 1.14613 14
11	1 1(1) 1 3.73767 1.62325 42
13	1 1(1) 1 4.8828 2.12057 132
15	1 1(1) 1 6.06146 2.63246 429
17	1 1(1) 1 7.26543 3.15534 1430
19	1 1(1) 1 8.48921 3.68681 4862
21	1 1(1) 1 9.7289 4.22521 16796
23	1 1(1) 1 10.9817 4.76927 58786
25	1 1(1) 1 12.2454 5.31809 208012
27	1 1(1) 1 13.5183 5.87093 742900
29	1 1(1) 1 14.7993 6.42723 2.67444e+06
31	1 1(1) 1 16.0871 6.98654 9.69485e+06
33	1 1(1) 1 17.381 7.54848 3.53577e+07
35	1 1(1) 1 18.6803 8.11276 1.29645e+08
37	1 1(1) 1 19.9844 8.6791 4.77639e+08
39	1 1(1) 1 21.2927 9.2473 1.76726e+09
41	1 1(1) 1 22.6049 9.81718 6.56412e+09
43	1 1(1) 1 23.9206 10.3886 2.44663e+10
45	1 1(1) 1 25.2394 10.9613 9.14826e+10
47	1 1(1) 1 26.5612 11.5354 3.4306e+11
49	1 1(1) 1 27.8856 12.1106 1.2899e+12
51	1 1(1) 1 29.2125 12.6868 4.86195e+12
53	1 1(1) 1 30.5416 13.264 1.83674e+13
55	1 1(1) 1 31.8728 13.8422 6.95336e+13
57	1 1(1) 1 33.206 14.4212 2.63748e+14
59	1 1(1) 1 34.541 15.001 1.00224e+15
61	1 1(1) 1 35.8777 15.5815 3.81499e+15
63	1 1(1) 1 37.216 16.1627 1.45446e+16
65	1 1(1) 1 38.5558 16.7446 5.55341e+16
67	1 1(1) 1 39.8969 17.327 2.12336e+17
69	1 1(1) 1 41.2394 17.9101 8.12944e+17
71	1 1(1) 1 42.5832 18.4936 3.11629e+18
73	1 1(1) 1 43.9281 19.0777 1.19598e+19
75	1 1(1) 1 45.2741 19.6623 4.59508e+19
77	1 1(1) 1 46.6212 20.2473 1.76734e+20
79	1 1(1) 1 47.9692 20.8328 6.80425e+20
81	1 1(1) 1 49.3183 21.4187 2.62213e+21
83	1 1(1) 1 50.6682 22.0049 1.01139e+22
85	1 1(1) 1 52.019 22.5916 3.90444e+22
87	1 1(1) 1 53.3706 23.1786 1.50853e+23
89	1 1(1) 1 54.723 23.7659 5.833e+23
91	1 1(1) 1 56.0761 24.3536 2.25712e+24
93	1 1(1) 1 57.43 24.9415 8.74033e+24
95	1 1(1) 1 58.7845 25.5298 3.38688e+25
97	1 1(1) 1 60.1397 26.1184 1.31328e+26
99	1 1(1) 1 61.4956 26.7072 5.09552e+26
101	1 1(1) 1 62.852 27.2963 1.97826e+27
103	1 1(1) 1 64.209 27.8856 7.68479e+27
105	1 1(1) 1 65.5666 28.4752 2.98692e+28
107	1 1(1) 1 66.9247 29.065 1.16158e+29
109	1 1(1) 1 68.2834 29.6551 4.5196e+29
111	1 1(1) 1 69.6425 30.2454 1.75941e+30
113	1 1(1) 1 71.0022 30.8358 6.85246e+30
115	1 1(1) 1 72.3623 31.4265 2.6701e+31
117	1 1(1) 1 73.7228 32.0174 1.04088e+32
119	1 1(1) 1 75.0838 32.6085 4.05945e+32
121	1 1(1) 1 76.4452 33.1997 1.58385e+33
123	1 1(1) 1 77.807 33.7911 6.18213e+33
125	1 1(1) 1 79.1692 34.3827 2.41397e+34
127	1 1(1) 1 80.5317 34.9745 9.42959e+34
129	1 1(1) 1 81.8947 35.5664 3.68479e+35
131	1 1(1) 1 83.258 36.1585 1.44042e+36
133	1 1(1) 1 84.6216 36.7507 5.63268e+36
135	1 1(1) 1 85.9856 37.3431 -1
137	1 1(1) 1 87.35 37.9356 -1
139	1 1(1) 1 88.7146 38.5283 -1
141	1 1(1) 1 90.0795 39.121 -1
